start_index,entry,sl,tp,type,order,reward,risk,commision,lot,entry_index,entry_date,res,end_index,RR,R1,end_date
1345,1801.918,1795.918,1807.918,market,buy,6.0,6.0,0.16,0.01,1345,2022-01-03 21:30:00,No res,1345,1.0,6.0,2022-01-03 21:30:00
1346,1801.926,1795.926,1807.926,market,buy,6.0,6.0,0.16,0.01,1346,2022-01-03 21:31:00,No res,1346,1.0,6.0,2022-01-03 21:31:00
1349,1801.737,1795.737,1807.737,market,buy,6.0,6.0,0.16,0.01,1349,2022-01-03 21:34:00,No res,1349,1.0,6.0,2022-01-03 21:34:00
1350,1801.739,1795.739,1807.739,market,buy,6.0,6.0,0.16,0.01,1350,2022-01-03 21:35:00,No res,1350,1.0,6.0,2022-01-03 21:35:00
1351,1801.518,1795.518,1807.518,market,buy,6.0,6.0,0.16,0.01,1351,2022-01-03 21:36:00,No res,1351,1.0,6.0,2022-01-03 21:36:00
1352,1801.428,1795.428,1807.428,market,buy,6.0,6.0,0.16,0.01,1352,2022-01-03 21:37:00,No res,1352,1.0,6.0,2022-01-03 21:37:00
1357,1801.55,1795.55,1807.55,market,buy,6.0,6.0,0.16,0.01,1357,2022-01-03 21:42:00,No res,1357,1.0,6.0,2022-01-03 21:42:00
1359,1801.371,1795.371,1807.371,market,buy,6.0,6.0,0.16,0.01,1359,2022-01-03 21:44:00,No res,1359,1.0,6.0,2022-01-03 21:44:00
1360,1801.34,1795.34,1807.34,market,buy,6.0,6.0,0.16,0.01,1360,2022-01-03 21:45:00,No res,1360,1.0,6.0,2022-01-03 21:45:00
1361,1801.121,1795.121,1807.121,market,buy,6.0,6.0,0.16,0.01,1361,2022-01-03 21:46:00,No res,1361,1.0,6.0,2022-01-03 21:46:00
1367,1801.242,1795.242,1807.242,market,buy,6.0,6.0,0.16,0.01,1367,2022-01-03 21:52:00,No res,1367,1.0,6.0,2022-01-03 21:52:00
1373,1800.933,1794.933,1806.933,market,buy,6.0,6.0,0.16,0.01,1373,2022-01-03 21:58:00,No res,1373,1.0,6.0,2022-01-03 21:58:00
1263,1801.384,1795.384,1807.384,market,buy,6.0,6.0,0.16,0.01,1263,2022-01-03 20:08:00,Win,2063,1.0,6.0,2022-01-04 10:30:00
1256,1802.001,1796.001,1808.001,market,buy,6.0,6.0,0.16,0.01,1256,2022-01-03 20:01:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1257,1801.855,1795.855,1807.855,market,buy,6.0,6.0,0.16,0.01,1257,2022-01-03 20:02:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1260,1801.744,1795.744,1807.744,market,buy,6.0,6.0,0.16,0.01,1260,2022-01-03 20:05:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
