year,threshold,raw_orders,deals,resolved,wins,losses,no_res,winrate,seconds,fund,max_fund,add_fund,rut_fund
2024,0.57,2466,2466,2466,1477,989,0,59.8946,83.26,6072.52,46067.0,345.2,10870.0
2025,0.57,2927,2927,2927,1648,1279,0,56.3034,81.1,3244.92,3614.52,989.12,0.0
2026,0.57,1424,1424,1420,844,576,4,59.4366,37.89,469.12,225315.08,845.56,164230.0
TOTAL,0.57,6817,6817,6813,3969,2844,4,58.2563,202.25,9786.56,225315.08,2179.88,175100.0
