start_index,entry,sl,tp,type,order,reward,risk,commision,lot,entry_index,entry_date,res,end_index,RR,R1,end_date
1276,1159.345,1153.345,1165.345,market,buy,6.0,6.0,0.16,0.01,1276,2017-01-03 21:16:00,No res,1276,1.0,6.0,2017-01-03 21:16:00
1283,1158.77,1152.77,1164.77,market,buy,6.0,6.0,0.16,0.01,1283,2017-01-03 21:23:00,No res,1283,1.0,6.0,2017-01-03 21:23:00
1284,1158.827,1152.827,1164.827,market,buy,6.0,6.0,0.16,0.01,1284,2017-01-03 21:24:00,No res,1284,1.0,6.0,2017-01-03 21:24:00
1288,1158.713,1152.713,1164.713,market,buy,6.0,6.0,0.16,0.01,1288,2017-01-03 21:28:00,No res,1288,1.0,6.0,2017-01-03 21:28:00
1289,1158.623,1152.623,1164.623,market,buy,6.0,6.0,0.16,0.01,1289,2017-01-03 21:29:00,No res,1289,1.0,6.0,2017-01-03 21:29:00
1290,1158.513,1152.513,1164.513,market,buy,6.0,6.0,0.16,0.01,1290,2017-01-03 21:30:00,No res,1290,1.0,6.0,2017-01-03 21:30:00
1291,1158.473,1152.473,1164.473,market,buy,6.0,6.0,0.16,0.01,1291,2017-01-03 21:31:00,No res,1291,1.0,6.0,2017-01-03 21:31:00
1292,1158.255,1152.255,1164.255,market,buy,6.0,6.0,0.16,0.01,1292,2017-01-03 21:32:00,No res,1292,1.0,6.0,2017-01-03 21:32:00
1294,1157.983,1151.983,1163.983,market,buy,6.0,6.0,0.16,0.01,1294,2017-01-03 21:34:00,No res,1294,1.0,6.0,2017-01-03 21:34:00
1295,1158.138,1152.138,1164.138,market,buy,6.0,6.0,0.16,0.01,1295,2017-01-03 21:35:00,No res,1295,1.0,6.0,2017-01-03 21:35:00
1304,1158.187,1152.187,1164.187,market,buy,6.0,6.0,0.16,0.01,1304,2017-01-03 21:44:00,No res,1304,1.0,6.0,2017-01-03 21:44:00
1305,1158.219,1152.219,1164.219,market,buy,6.0,6.0,0.16,0.01,1305,2017-01-03 21:45:00,No res,1305,1.0,6.0,2017-01-03 21:45:00
1306,1158.287,1152.287,1164.287,market,buy,6.0,6.0,0.16,0.01,1306,2017-01-03 21:46:00,No res,1306,1.0,6.0,2017-01-03 21:46:00
