year,threshold,raw_orders,deals,resolved,wins,losses,no_res,winrate,seconds,fund,max_fund,add_fund,rut_fund
2025,0.565,4123,4123,3967,2320,1647,156,58.4825,90.12,23045.92,39025.76,576.76,0.0
2026,0.565,2188,2188,2160,1266,894,28,58.6111,50.36,290.4,252770.96,720.0,229059.0
TOTAL,0.565,6311,6311,6127,3586,2541,184,58.5278,140.48,23336.32,252770.96,1296.76,229059.0
