start_index,entry,sl,tp,type,order,reward,risk,commision,lot,entry_index,entry_date,res,end_index,RR,R1,end_date
1360,1073.947,1067.947,1079.947,market,buy,6.0,6.0,0.16,0.01,1360,2016-01-04 21:40:00,No res,1360,1.0,6.0,2016-01-04 21:40:00
1362,1073.804,1067.804,1079.804,market,buy,6.0,6.0,0.16,0.01,1362,2016-01-04 21:42:00,No res,1362,1.0,6.0,2016-01-04 21:42:00
1365,1073.948,1067.948,1079.948,market,buy,6.0,6.0,0.16,0.01,1365,2016-01-04 21:45:00,No res,1365,1.0,6.0,2016-01-04 21:45:00
1369,1074.471,1068.471,1080.471,market,buy,6.0,6.0,0.16,0.01,1369,2016-01-04 21:49:00,No res,1369,1.0,6.0,2016-01-04 21:49:00
1370,1074.506,1068.506,1080.506,market,buy,6.0,6.0,0.16,0.01,1370,2016-01-04 21:50:00,No res,1370,1.0,6.0,2016-01-04 21:50:00
1371,1074.442,1068.442,1080.442,market,buy,6.0,6.0,0.16,0.01,1371,2016-01-04 21:51:00,No res,1371,1.0,6.0,2016-01-04 21:51:00
1372,1074.316,1068.316,1080.316,market,buy,6.0,6.0,0.16,0.01,1372,2016-01-04 21:52:00,No res,1372,1.0,6.0,2016-01-04 21:52:00
1373,1074.466,1068.466,1080.466,market,buy,6.0,6.0,0.16,0.01,1373,2016-01-04 21:53:00,No res,1373,1.0,6.0,2016-01-04 21:53:00
1374,1074.521,1068.521,1080.521,market,buy,6.0,6.0,0.16,0.01,1374,2016-01-04 21:54:00,No res,1374,1.0,6.0,2016-01-04 21:54:00
1375,1074.514,1068.514,1080.514,market,buy,6.0,6.0,0.16,0.01,1375,2016-01-04 21:55:00,No res,1375,1.0,6.0,2016-01-04 21:55:00
1330,1073.592,1067.592,1079.592,market,buy,6.0,6.0,0.16,0.01,1330,2016-01-04 21:10:00,Win,2055,1.0,6.0,2016-01-05 10:14:00
1344,1074.033,1068.033,1080.033,market,buy,6.0,6.0,0.16,0.01,1344,2016-01-04 21:24:00,Win,2150,1.0,6.0,2016-01-05 11:49:00
1338,1074.214,1068.214,1080.214,market,buy,6.0,6.0,0.16,0.01,1338,2016-01-04 21:18:00,Win,2151,1.0,6.0,2016-01-05 11:50:00
1339,1074.209,1068.209,1080.209,market,buy,6.0,6.0,0.16,0.01,1339,2016-01-04 21:19:00,Win,2151,1.0,6.0,2016-01-05 11:50:00
1343,1074.209,1068.209,1080.209,market,buy,6.0,6.0,0.16,0.01,1343,2016-01-04 21:23:00,Win,2151,1.0,6.0,2016-01-05 11:50:00
1345,1074.097,1068.097,1080.097,market,buy,6.0,6.0,0.16,0.01,1345,2016-01-04 21:25:00,Win,2151,1.0,6.0,2016-01-05 11:50:00
1357,1074.144,1068.144,1080.144,market,buy,6.0,6.0,0.16,0.01,1357,2016-01-04 21:37:00,Win,2151,1.0,6.0,2016-01-05 11:50:00
1358,1074.167,1068.167,1080.167,market,buy,6.0,6.0,0.16,0.01,1358,2016-01-04 21:38:00,Win,2151,1.0,6.0,2016-01-05 11:50:00
1359,1074.177,1068.177,1080.177,market,buy,6.0,6.0,0.16,0.01,1359,2016-01-04 21:39:00,Win,2151,1.0,6.0,2016-01-05 11:50:00
1340,1074.401,1068.401,1080.401,market,buy,6.0,6.0,0.16,0.01,1340,2016-01-04 21:20:00,Win,2153,1.0,6.0,2016-01-05 11:52:00
1341,1074.381,1068.381,1080.381,market,buy,6.0,6.0,0.16,0.01,1341,2016-01-04 21:21:00,Win,2153,1.0,6.0,2016-01-05 11:52:00
