year,threshold,raw_orders,deals,resolved,wins,losses,no_res,winrate,seconds,fund,max_fund,add_fund,rut_fund
2016,0.565,5043,5017,4926,2376,2550,91,48.2339,147.48,3419.6,3783.04,8652.52,0.0
2017,0.565,6161,6120,5934,3353,2581,186,56.5049,181.84,73667.08,92033.12,9061.44,31783.0
2018,0.565,5942,5862,5693,3372,2321,169,59.2306,187.54,2239.76,300161.16,11483.92,47713.0
TOTAL,0.565,17146,16999,16553,9101,7452,446,54.981,516.86,79326.44,300161.16,29197.88,79496.0
