start_index,entry,sl,tp,type,order,reward,risk,commision,lot,entry_index,entry_date,res,end_index,RR,R1,end_date
1344,1801.942,1795.942,1807.942,market,buy,6.0,6.0,0.16,0.01,1344,2022-01-03 21:29:00,No res,1344,1.0,6.0,2022-01-03 21:29:00
1345,1801.918,1795.918,1807.918,market,buy,6.0,6.0,0.16,0.01,1345,2022-01-03 21:30:00,No res,1345,1.0,6.0,2022-01-03 21:30:00
1346,1801.926,1795.926,1807.926,market,buy,6.0,6.0,0.16,0.01,1346,2022-01-03 21:31:00,No res,1346,1.0,6.0,2022-01-03 21:31:00
1349,1801.737,1795.737,1807.737,market,buy,6.0,6.0,0.16,0.01,1349,2022-01-03 21:34:00,No res,1349,1.0,6.0,2022-01-03 21:34:00
1350,1801.739,1795.739,1807.739,market,buy,6.0,6.0,0.16,0.01,1350,2022-01-03 21:35:00,No res,1350,1.0,6.0,2022-01-03 21:35:00
1352,1801.428,1795.428,1807.428,market,buy,6.0,6.0,0.16,0.01,1352,2022-01-03 21:37:00,No res,1352,1.0,6.0,2022-01-03 21:37:00
1357,1801.55,1795.55,1807.55,market,buy,6.0,6.0,0.16,0.01,1357,2022-01-03 21:42:00,No res,1357,1.0,6.0,2022-01-03 21:42:00
1360,1801.34,1795.34,1807.34,market,buy,6.0,6.0,0.16,0.01,1360,2022-01-03 21:45:00,No res,1360,1.0,6.0,2022-01-03 21:45:00
1361,1801.121,1795.121,1807.121,market,buy,6.0,6.0,0.16,0.01,1361,2022-01-03 21:46:00,No res,1361,1.0,6.0,2022-01-03 21:46:00
1373,1800.933,1794.933,1806.933,market,buy,6.0,6.0,0.16,0.01,1373,2022-01-03 21:58:00,No res,1373,1.0,6.0,2022-01-03 21:58:00
1256,1802.001,1796.001,1808.001,market,buy,6.0,6.0,0.16,0.01,1256,2022-01-03 20:01:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1257,1801.855,1795.855,1807.855,market,buy,6.0,6.0,0.16,0.01,1257,2022-01-03 20:02:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1318,1801.856,1795.856,1807.856,market,buy,6.0,6.0,0.16,0.01,1318,2022-01-03 21:03:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1328,1802.122,1796.122,1808.122,market,buy,6.0,6.0,0.16,0.01,1328,2022-01-03 21:13:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1329,1802.064,1796.064,1808.064,market,buy,6.0,6.0,0.16,0.01,1329,2022-01-03 21:14:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1330,1802.132,1796.132,1808.132,market,buy,6.0,6.0,0.16,0.01,1330,2022-01-03 21:15:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1331,1802.12,1796.12,1808.12,market,buy,6.0,6.0,0.16,0.01,1331,2022-01-03 21:16:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1334,1801.852,1795.852,1807.852,market,buy,6.0,6.0,0.16,0.01,1334,2022-01-03 21:19:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1336,1801.901,1795.901,1807.901,market,buy,6.0,6.0,0.16,0.01,1336,2022-01-03 21:21:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1337,1801.911,1795.911,1807.911,market,buy,6.0,6.0,0.16,0.01,1337,2022-01-03 21:22:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1342,1801.939,1795.939,1807.939,market,buy,6.0,6.0,0.16,0.01,1342,2022-01-03 21:27:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
1343,1801.937,1795.937,1807.937,market,buy,6.0,6.0,0.16,0.01,1343,2022-01-03 21:28:00,Win,2064,1.0,6.0,2022-01-04 10:31:00
2676,1813.539,1807.539,1819.539,market,buy,6.0,6.0,0.16,0.01,2676,2022-01-04 20:43:00,No res,2676,1.0,6.0,2022-01-04 20:43:00
2693,1815.12,1809.12,1821.12,market,buy,6.0,6.0,0.16,0.01,2693,2022-01-04 21:00:00,No res,2693,1.0,6.0,2022-01-04 21:00:00
2696,1815.084,1809.084,1821.084,market,buy,6.0,6.0,0.16,0.01,2696,2022-01-04 21:03:00,No res,2696,1.0,6.0,2022-01-04 21:03:00
2697,1814.93,1808.93,1820.93,market,buy,6.0,6.0,0.16,0.01,2697,2022-01-04 21:04:00,No res,2697,1.0,6.0,2022-01-04 21:04:00
2698,1814.927,1808.927,1820.927,market,buy,6.0,6.0,0.16,0.01,2698,2022-01-04 21:05:00,No res,2698,1.0,6.0,2022-01-04 21:05:00
2700,1814.856,1808.856,1820.856,market,buy,6.0,6.0,0.16,0.01,2700,2022-01-04 21:07:00,No res,2700,1.0,6.0,2022-01-04 21:07:00
2701,1814.885,1808.885,1820.885,market,buy,6.0,6.0,0.16,0.01,2701,2022-01-04 21:08:00,No res,2701,1.0,6.0,2022-01-04 21:08:00
2709,1814.585,1808.585,1820.585,market,buy,6.0,6.0,0.16,0.01,2709,2022-01-04 21:16:00,No res,2709,1.0,6.0,2022-01-04 21:16:00
2710,1814.383,1808.383,1820.383,market,buy,6.0,6.0,0.16,0.01,2710,2022-01-04 21:17:00,No res,2710,1.0,6.0,2022-01-04 21:17:00
2711,1814.293,1808.293,1820.293,market,buy,6.0,6.0,0.16,0.01,2711,2022-01-04 21:18:00,No res,2711,1.0,6.0,2022-01-04 21:18:00
2712,1814.262,1808.262,1820.262,market,buy,6.0,6.0,0.16,0.01,2712,2022-01-04 21:19:00,No res,2712,1.0,6.0,2022-01-04 21:19:00
2713,1814.211,1808.211,1820.211,market,buy,6.0,6.0,0.16,0.01,2713,2022-01-04 21:20:00,No res,2713,1.0,6.0,2022-01-04 21:20:00
2714,1814.29,1808.29,1820.29,market,buy,6.0,6.0,0.16,0.01,2714,2022-01-04 21:21:00,No res,2714,1.0,6.0,2022-01-04 21:21:00
2715,1814.285,1808.285,1820.285,market,buy,6.0,6.0,0.16,0.01,2715,2022-01-04 21:22:00,No res,2715,1.0,6.0,2022-01-04 21:22:00
2723,1814.281,1808.281,1820.281,market,buy,6.0,6.0,0.16,0.01,2723,2022-01-04 21:30:00,No res,2723,1.0,6.0,2022-01-04 21:30:00
2730,1814.129,1808.129,1820.129,market,buy,6.0,6.0,0.16,0.01,2730,2022-01-04 21:37:00,No res,2730,1.0,6.0,2022-01-04 21:37:00
2732,1814.165,1808.165,1820.165,market,buy,6.0,6.0,0.16,0.01,2732,2022-01-04 21:39:00,No res,2732,1.0,6.0,2022-01-04 21:39:00
