year,threshold,raw_orders,deals,resolved,wins,losses,no_res,winrate,seconds,fund,max_fund,add_fund,rut_fund
2024,0.565,3119,3119,2764,1665,1099,355,60.2388,120.67,3970.88,56501.28,180.0,13160.0
2025,0.565,4123,4123,3967,2320,1647,156,58.4825,82.3,23045.92,39025.76,576.76,0.0
2026,0.565,2188,2188,2160,1266,894,28,58.6111,43.89,290.4,252770.96,720.0,229059.0
TOTAL,0.565,9430,9430,8891,5251,3640,539,59.0597,246.86,27307.2,252770.96,1476.76,242219.0
