year,threshold,raw_orders,deals,resolved,wins,losses,no_res,winrate,seconds,fund,max_fund,add_fund,rut_fund
2019,0.57,5325,5313,1517,958,559,3796,63.151,133.9,29973.36,29973.36,0.0,0.0
2020,0.57,3593,3593,1953,1265,688,1640,64.7721,108.65,101272.6,101272.6,0.0,164746.0
2021,0.57,4257,4245,1725,1061,664,2520,61.5072,108.55,13966.8,16015.76,0.0,0.0
2022,0.57,3805,3792,1845,1070,775,1947,57.9946,110.49,2814.56,3705.04,0.0,0.0
2023,0.57,4057,4044,1768,1001,767,2276,56.6176,99.12,1380.2,2057.44,161.52,0.0
2024,0.57,2466,2466,1551,927,624,915,59.7679,92.08,10576.76,22652.44,0.0,0.0
2025,0.57,2927,2927,2265,1274,991,662,56.2472,93.69,1372.84,4197.56,300.0,0.0
2026,0.57,1424,1424,1281,706,575,143,55.1132,38.99,428.68,30695.88,845.56,0.0
TOTAL,0.57,27854,27804,13905,8262,5643,13899,59.4175,785.47,161785.8,101272.6,1307.08,164746.0
