year,threshold,raw_orders,deals,resolved,wins,losses,no_res,winrate,seconds,fund,max_fund,add_fund,rut_fund
2016,0.57,4390,4378,1742,896,846,2636,51.4351,106.11,751.28,1003.32,502.64,0.0
2017,0.57,5579,5565,1705,890,815,3860,52.1994,116.51,1140.96,1314.08,724.04,0.0
2018,0.57,5442,5430,1571,906,665,3859,57.6703,121.99,816.12,4325.92,0.0,0.0
2019,0.57,5325,5313,1517,958,559,3796,63.151,122.78,29973.36,29973.36,0.0,0.0
TOTAL,0.57,20736,20686,6535,3650,2885,14151,55.8531,467.39,32681.72,29973.36,1226.68,0.0
