year,threshold,raw_orders,deals,resolved,wins,losses,no_res,winrate,seconds,fund,max_fund,add_fund,rut_fund
2026,0.565,2188,2188,2184,1290,894,4,59.0659,40.05,241.04,312481.52,1157.16,298629.0
TOTAL,0.565,2188,2188,2184,1290,894,4,59.0659,40.05,241.04,312481.52,1157.16,298629.0
