start_index,entry,sl,tp,type,order,reward,risk,commision,lot,entry_index,entry_date,res,end_index,RR,R1,end_date
1073,2659.868,2653.868,2665.868,market,buy,6.0,6.0,0.16,0.01,1073,2025-01-02 16:58:00,Lose,1107,1.0,6.0,2025-01-02 17:32:00
1068,2658.762,2652.762,2664.762,market,buy,6.0,6.0,0.16,0.01,1068,2025-01-02 16:53:00,Lose,1125,1.0,6.0,2025-01-02 17:50:00
1167,2654.225,2648.225,2660.225,market,buy,6.0,6.0,0.16,0.01,1167,2025-01-02 18:32:00,Win,1282,1.0,6.0,2025-01-02 20:27:00
1169,2654.409,2648.409,2660.409,market,buy,6.0,6.0,0.16,0.01,1169,2025-01-02 18:34:00,Win,1282,1.0,6.0,2025-01-02 20:27:00
1204,2654.546,2648.546,2660.546,market,buy,6.0,6.0,0.16,0.01,1204,2025-01-02 19:09:00,Win,1437,1.0,6.0,2025-01-03 00:05:00
1209,2654.464,2648.464,2660.464,market,buy,6.0,6.0,0.16,0.01,1209,2025-01-02 19:14:00,Win,1437,1.0,6.0,2025-01-03 00:05:00
1175,2655.139,2649.139,2661.139,market,buy,6.0,6.0,0.16,0.01,1175,2025-01-02 18:40:00,Win,1438,1.0,6.0,2025-01-03 00:06:00
1203,2654.792,2648.792,2660.792,market,buy,6.0,6.0,0.16,0.01,1203,2025-01-02 19:08:00,Win,1438,1.0,6.0,2025-01-03 00:06:00
1217,2654.984,2648.984,2660.984,market,buy,6.0,6.0,0.16,0.01,1217,2025-01-02 19:22:00,Win,1438,1.0,6.0,2025-01-03 00:06:00
1220,2655.067,2649.067,2661.067,market,buy,6.0,6.0,0.16,0.01,1220,2025-01-02 19:25:00,Win,1438,1.0,6.0,2025-01-03 00:06:00
1226,2655.042,2649.042,2661.042,market,buy,6.0,6.0,0.16,0.01,1226,2025-01-02 19:31:00,Win,1438,1.0,6.0,2025-01-03 00:06:00
1047,2656.525,2650.525,2662.525,market,buy,6.0,6.0,0.16,0.01,1047,2025-01-02 16:32:00,Win,1492,1.0,6.0,2025-01-03 01:00:00
1049,2655.858,2649.858,2661.858,market,buy,6.0,6.0,0.16,0.01,1049,2025-01-02 16:34:00,Win,1492,1.0,6.0,2025-01-03 01:00:00
1159,2656.116,2650.116,2662.116,market,buy,6.0,6.0,0.16,0.01,1159,2025-01-02 18:24:00,Win,1492,1.0,6.0,2025-01-03 01:00:00
1181,2655.659,2649.659,2661.659,market,buy,6.0,6.0,0.16,0.01,1181,2025-01-02 18:46:00,Win,1492,1.0,6.0,2025-01-03 01:00:00
1194,2655.478,2649.478,2661.478,market,buy,6.0,6.0,0.16,0.01,1194,2025-01-02 18:59:00,Win,1492,1.0,6.0,2025-01-03 01:00:00
1228,2655.376,2649.376,2661.376,market,buy,6.0,6.0,0.16,0.01,1228,2025-01-02 19:33:00,Win,1492,1.0,6.0,2025-01-03 01:00:00
1039,2657.036,2651.036,2663.036,market,buy,6.0,6.0,0.16,0.01,1039,2025-01-02 16:24:00,Win,1570,1.0,6.0,2025-01-03 02:18:00
1044,2657.367,2651.367,2663.367,market,buy,6.0,6.0,0.16,0.01,1044,2025-01-02 16:29:00,Win,1571,1.0,6.0,2025-01-03 02:19:00
1052,2657.54,2651.54,2663.54,market,buy,6.0,6.0,0.16,0.01,1052,2025-01-02 16:37:00,Win,1571,1.0,6.0,2025-01-03 02:19:00
1054,2657.68,2651.68,2663.68,market,buy,6.0,6.0,0.16,0.01,1054,2025-01-02 16:39:00,Win,1571,1.0,6.0,2025-01-03 02:19:00
1055,2657.794,2651.794,2663.794,market,buy,6.0,6.0,0.16,0.01,1055,2025-01-02 16:40:00,Win,1571,1.0,6.0,2025-01-03 02:19:00
1058,2657.362,2651.362,2663.362,market,buy,6.0,6.0,0.16,0.01,1058,2025-01-02 16:43:00,Win,1571,1.0,6.0,2025-01-03 02:19:00
1060,2657.386,2651.386,2663.386,market,buy,6.0,6.0,0.16,0.01,1060,2025-01-02 16:45:00,Win,1571,1.0,6.0,2025-01-03 02:19:00
1085,2658.208,2652.208,2664.208,market,buy,6.0,6.0,0.16,0.01,1085,2025-01-02 17:10:00,Win,1620,1.0,6.0,2025-01-03 03:08:00
1143,2658.341,2652.341,2664.341,market,buy,6.0,6.0,0.16,0.01,1143,2025-01-02 18:08:00,Win,1620,1.0,6.0,2025-01-03 03:08:00
1331,2659.217,2653.217,2665.217,market,buy,6.0,6.0,0.16,0.01,1331,2025-01-02 21:16:00,Lose,1874,1.0,6.0,2025-01-03 07:22:00
2684,2639.216,2633.216,2645.216,market,buy,6.0,6.0,0.16,0.01,2684,2025-01-03 21:54:00,No res,2684,1.0,6.0,2025-01-03 21:54:00
2686,2640.273,2634.273,2646.273,market,buy,6.0,6.0,0.16,0.01,2686,2025-01-03 21:56:00,No res,2686,1.0,6.0,2025-01-03 21:56:00
