start_index,entry,sl,tp,type,order,reward,risk,commision,lot,entry_index,entry_date,res,end_index,RR,R1,end_date
590,1520.336,1514.336,1526.336,market,buy,6.0,6.0,0.16,0.01,590,2020-01-02 10:50:00,Win,771,1.0,6.0,2020-01-02 13:51:00
927,1528.745,1522.745,1534.745,market,buy,6.0,6.0,0.16,0.01,927,2020-01-02 16:27:00,No res,927,1.0,6.0,2020-01-02 16:27:00
930,1526.943,1520.943,1532.943,market,buy,6.0,6.0,0.16,0.01,930,2020-01-02 16:30:00,No res,930,1.0,6.0,2020-01-02 16:30:00
938,1527.461,1521.461,1533.461,market,buy,6.0,6.0,0.16,0.01,938,2020-01-02 16:38:00,No res,938,1.0,6.0,2020-01-02 16:38:00
939,1527.404,1521.404,1533.404,market,buy,6.0,6.0,0.16,0.01,939,2020-01-02 16:39:00,No res,939,1.0,6.0,2020-01-02 16:39:00
940,1527.251,1521.251,1533.251,market,buy,6.0,6.0,0.16,0.01,940,2020-01-02 16:40:00,No res,940,1.0,6.0,2020-01-02 16:40:00
946,1527.075,1521.075,1533.075,market,buy,6.0,6.0,0.16,0.01,946,2020-01-02 16:46:00,No res,946,1.0,6.0,2020-01-02 16:46:00
947,1526.962,1520.962,1532.962,market,buy,6.0,6.0,0.16,0.01,947,2020-01-02 16:47:00,No res,947,1.0,6.0,2020-01-02 16:47:00
948,1526.884,1520.884,1532.884,market,buy,6.0,6.0,0.16,0.01,948,2020-01-02 16:48:00,No res,948,1.0,6.0,2020-01-02 16:48:00
949,1526.854,1520.854,1532.854,market,buy,6.0,6.0,0.16,0.01,949,2020-01-02 16:49:00,No res,949,1.0,6.0,2020-01-02 16:49:00
950,1526.941,1520.941,1532.941,market,buy,6.0,6.0,0.16,0.01,950,2020-01-02 16:50:00,No res,950,1.0,6.0,2020-01-02 16:50:00
954,1526.653,1520.653,1532.653,market,buy,6.0,6.0,0.16,0.01,954,2020-01-02 16:54:00,No res,954,1.0,6.0,2020-01-02 16:54:00
955,1526.253,1520.253,1532.253,market,buy,6.0,6.0,0.16,0.01,955,2020-01-02 16:55:00,No res,955,1.0,6.0,2020-01-02 16:55:00
956,1525.882,1519.882,1531.882,market,buy,6.0,6.0,0.16,0.01,956,2020-01-02 16:56:00,No res,956,1.0,6.0,2020-01-02 16:56:00
958,1525.905,1519.905,1531.905,market,buy,6.0,6.0,0.16,0.01,958,2020-01-02 16:58:00,No res,958,1.0,6.0,2020-01-02 16:58:00
959,1525.762,1519.762,1531.762,market,buy,6.0,6.0,0.16,0.01,959,2020-01-02 16:59:00,No res,959,1.0,6.0,2020-01-02 16:59:00
867,1530.332,1524.332,1536.332,market,buy,6.0,6.0,0.16,0.01,867,2020-01-02 15:27:00,Lose,981,1.0,6.0,2020-01-02 17:21:00
894,1529.897,1523.897,1535.897,market,buy,6.0,6.0,0.16,0.01,894,2020-01-02 15:54:00,Lose,981,1.0,6.0,2020-01-02 17:21:00
926,1528.94,1522.94,1534.94,market,buy,6.0,6.0,0.16,0.01,926,2020-01-02 16:26:00,Lose,981,1.0,6.0,2020-01-02 17:21:00
1014,1525.21,1519.21,1531.21,market,buy,6.0,6.0,0.16,0.01,1014,2020-01-02 17:54:00,No res,1014,1.0,6.0,2020-01-02 17:54:00
1027,1525.443,1519.443,1531.443,market,buy,6.0,6.0,0.16,0.01,1027,2020-01-02 18:07:00,No res,1027,1.0,6.0,2020-01-02 18:07:00
1028,1525.369,1519.369,1531.369,market,buy,6.0,6.0,0.16,0.01,1028,2020-01-02 18:08:00,No res,1028,1.0,6.0,2020-01-02 18:08:00
1029,1525.591,1519.591,1531.591,market,buy,6.0,6.0,0.16,0.01,1029,2020-01-02 18:09:00,No res,1029,1.0,6.0,2020-01-02 18:09:00
1030,1525.418,1519.418,1531.418,market,buy,6.0,6.0,0.16,0.01,1030,2020-01-02 18:10:00,No res,1030,1.0,6.0,2020-01-02 18:10:00
1032,1525.351,1519.351,1531.351,market,buy,6.0,6.0,0.16,0.01,1032,2020-01-02 18:12:00,No res,1032,1.0,6.0,2020-01-02 18:12:00
1039,1524.976,1518.976,1530.976,market,buy,6.0,6.0,0.16,0.01,1039,2020-01-02 18:19:00,No res,1039,1.0,6.0,2020-01-02 18:19:00
1050,1525.481,1519.481,1531.481,market,buy,6.0,6.0,0.16,0.01,1050,2020-01-02 18:30:00,No res,1050,1.0,6.0,2020-01-02 18:30:00
1052,1525.309,1519.309,1531.309,market,buy,6.0,6.0,0.16,0.01,1052,2020-01-02 18:32:00,No res,1052,1.0,6.0,2020-01-02 18:32:00
1066,1526.152,1520.152,1532.152,market,buy,6.0,6.0,0.16,0.01,1066,2020-01-02 18:46:00,No res,1066,1.0,6.0,2020-01-02 18:46:00
1067,1525.981,1519.981,1531.981,market,buy,6.0,6.0,0.16,0.01,1067,2020-01-02 18:47:00,No res,1067,1.0,6.0,2020-01-02 18:47:00
1070,1525.754,1519.754,1531.754,market,buy,6.0,6.0,0.16,0.01,1070,2020-01-02 18:50:00,No res,1070,1.0,6.0,2020-01-02 18:50:00
1078,1526.179,1520.179,1532.179,market,buy,6.0,6.0,0.16,0.01,1078,2020-01-02 18:58:00,No res,1078,1.0,6.0,2020-01-02 18:58:00
1079,1526.192,1520.192,1532.192,market,buy,6.0,6.0,0.16,0.01,1079,2020-01-02 18:59:00,No res,1079,1.0,6.0,2020-01-02 18:59:00
1080,1526.296,1520.296,1532.296,market,buy,6.0,6.0,0.16,0.01,1080,2020-01-02 19:00:00,No res,1080,1.0,6.0,2020-01-02 19:00:00
1081,1526.154,1520.154,1532.154,market,buy,6.0,6.0,0.16,0.01,1081,2020-01-02 19:01:00,No res,1081,1.0,6.0,2020-01-02 19:01:00
