start_index,entry,sl,tp,type,order,reward,risk,commision,lot,entry_index,entry_date,res,end_index,RR,R1,end_date
1123,4328.06,4322.06,4334.06,market,buy,6.0,6.0,0.16,0.01,1123,2026-01-02 17:48:00,Lose,1135,1.0,6.0,2026-01-02 18:00:00
1129,4324.77,4318.77,4330.77,market,buy,6.0,6.0,0.16,0.01,1129,2026-01-02 17:54:00,Lose,1141,1.0,6.0,2026-01-02 18:06:00
1137,4322.756,4316.756,4328.756,market,buy,6.0,6.0,0.16,0.01,1137,2026-01-02 18:02:00,Lose,1143,1.0,6.0,2026-01-02 18:08:00
1140,4322.25,4316.25,4328.25,market,buy,6.0,6.0,0.16,0.01,1140,2026-01-02 18:05:00,Lose,1143,1.0,6.0,2026-01-02 18:08:00
1136,4321.848,4315.848,4327.848,market,buy,6.0,6.0,0.16,0.01,1136,2026-01-02 18:01:00,Lose,1145,1.0,6.0,2026-01-02 18:10:00
1141,4321.806,4315.806,4327.806,market,buy,6.0,6.0,0.16,0.01,1141,2026-01-02 18:06:00,Lose,1145,1.0,6.0,2026-01-02 18:10:00
1143,4318.59,4312.59,4324.59,market,buy,6.0,6.0,0.16,0.01,1143,2026-01-02 18:08:00,Lose,1150,1.0,6.0,2026-01-02 18:15:00
1150,4314.687,4308.687,4320.687,market,buy,6.0,6.0,0.16,0.01,1150,2026-01-02 18:15:00,Win,1160,1.0,6.0,2026-01-02 18:25:00
1160,4319.48,4313.48,4325.48,market,buy,6.0,6.0,0.16,0.01,1160,2026-01-02 18:25:00,Lose,1171,1.0,6.0,2026-01-02 18:36:00
1144,4316.06,4310.06,4322.06,market,buy,6.0,6.0,0.16,0.01,1144,2026-01-02 18:09:00,Lose,1179,1.0,6.0,2026-01-02 18:44:00
1180,4312.674,4306.674,4318.674,market,buy,6.0,6.0,0.16,0.01,1180,2026-01-02 18:45:00,Win,1196,1.0,6.0,2026-01-02 19:01:00
1172,4313.214,4307.214,4319.214,market,buy,6.0,6.0,0.16,0.01,1172,2026-01-02 18:37:00,Win,1198,1.0,6.0,2026-01-02 19:03:00
1173,4314.311,4308.311,4320.311,market,buy,6.0,6.0,0.16,0.01,1173,2026-01-02 18:38:00,Win,1198,1.0,6.0,2026-01-02 19:03:00
1190,4315.158,4309.158,4321.158,market,buy,6.0,6.0,0.16,0.01,1190,2026-01-02 18:55:00,Win,1200,1.0,6.0,2026-01-02 19:05:00
1193,4314.812,4308.812,4320.812,market,buy,6.0,6.0,0.16,0.01,1193,2026-01-02 18:58:00,Win,1200,1.0,6.0,2026-01-02 19:05:00
1247,4318.522,4312.522,4324.522,market,buy,6.0,6.0,0.16,0.01,1247,2026-01-02 19:52:00,Win,1275,1.0,6.0,2026-01-02 20:20:00
1249,4318.615,4312.615,4324.615,market,buy,6.0,6.0,0.16,0.01,1249,2026-01-02 19:54:00,Win,1275,1.0,6.0,2026-01-02 20:20:00
1246,4319.617,4313.617,4325.617,market,buy,6.0,6.0,0.16,0.01,1246,2026-01-02 19:51:00,Win,1278,1.0,6.0,2026-01-02 20:23:00
1259,4319.819,4313.819,4325.819,market,buy,6.0,6.0,0.16,0.01,1259,2026-01-02 20:04:00,Win,1278,1.0,6.0,2026-01-02 20:23:00
1272,4320.338,4314.338,4326.338,market,buy,6.0,6.0,0.16,0.01,1272,2026-01-02 20:17:00,Win,1278,1.0,6.0,2026-01-02 20:23:00
1208,4321.434,4315.434,4327.434,market,buy,6.0,6.0,0.16,0.01,1208,2026-01-02 19:13:00,Win,1282,1.0,6.0,2026-01-02 20:27:00
1210,4321.67,4315.67,4327.67,market,buy,6.0,6.0,0.16,0.01,1210,2026-01-02 19:15:00,Win,1282,1.0,6.0,2026-01-02 20:27:00
