,rows,positive_rate,pred_positive_rate,accuracy_at_0_5,brier,logloss,avg_precision,auc
train,148526.0,0.4848915341421704,0.4613064379300594,0.8626435775554449,0.16382150332483292,0.5117538450073883,0.935129830513431,0.9378041378308362
valid,145265.0,0.4992255532991429,0.44712077926548033,0.4905655181908925,0.2652472445140928,0.7265346948418744,0.4966304908819843,0.4882429186274566
test,127588.0,0.5405053766811926,0.38571025488290434,0.4958930306925416,0.2657833136579653,0.7284341833768463,0.5437640683763884,0.5108016867344525
