,dtype,missing_rate,n_unique
bb200_upper_ov_distance_lag3,float32,0.0,997220
bb200_upper_ov_distance_lag5,float32,0.0,997220
bb200_lower_ov_value,float32,0.0,997234
bb200_lower_ov_value_lag1,float32,0.0,997234
bb200_lower_ov_value_lag3,float32,0.0,997234
bb200_lower_ov_value_lag5,float32,0.0,997234
bb200_lower_ov_value_lag8,float32,0.0,997234
bb200_lower_ov_value_lag13,float32,0.0,997234
bb200_lower_ov_distance,float32,0.0,997234
bb200_lower_ov_distance_lag1,float32,0.0,997234
bb200_lower_ov_distance_lag3,float32,0.0,997234
bb200_lower_ov_distance_lag5,float32,0.0,997234
bb200_lower_ov_distance_lag8,float32,0.0,997234
bb200_lower_ov_distance_lag13,float32,0.0,997234
bb100_bb200_pos_diff,float32,0.0,1001195
bb20_bb100_pos_diff,float32,0.0,1001976
bb20_bb200_pos_diff,float32,0.0,1002083
bb100_mid_gap_atr_rollmean_20,float32,0.0,1002525
bb20_mid_ov_velocity3,float32,0.0,1002528
bb20_mid_ov_velocity3_lag1,float32,0.0,1002528
bb20_mid_ov_velocity3_lag3,float32,0.0,1002528
bb100_mid_gap_atr_rollmean_200,float32,0.0,1002579
bb200_mid_gap_atr_rollmean_20,float32,0.0,1002597
bb200_mid_gap_atr_rollmean_200,float32,0.0,1002621
bb20_mid_ov_velocity1,float32,0.0,1002628
bb20_mid_ov_velocity1_lag1,float32,0.0,1002628
bb20_mid_ov_velocity1_lag3,float32,0.0,1002628
bb20_mid_ov_velocity5,float32,0.0,1002640
bb20_mid_ov_velocity5_lag1,float32,0.0,1002640
bb20_mid_ov_velocity5_lag3,float32,0.0,1002640
bb100_mid_ov_value,float32,0.0,1002668
bb100_mid_ov_value_lag1,float32,0.0,1002668
bb100_mid_ov_value_lag3,float32,0.0,1002668
bb100_mid_ov_value_lag5,float32,0.0,1002668
bb100_mid_ov_value_lag8,float32,0.0,1002668
bb100_mid_ov_value_lag13,float32,0.0,1002668
bb100_mid_ov_distance,float32,0.0,1002668
bb100_mid_ov_distance_lag1,float32,0.0,1002668
bb100_mid_ov_distance_lag3,float32,0.0,1002668
bb100_mid_ov_distance_lag5,float32,0.0,1002668
bb100_mid_ov_distance_lag8,float32,0.0,1002668
bb100_mid_ov_distance_lag13,float32,0.0,1002668
bb100_mid_gap_atr_rollmean_100,float32,0.0,1002681
bb20_mid_gap_atr_rollmean_200,float32,0.0,1002687
bb200_mid_ov_value,float32,0.0,1002702
bb200_mid_ov_value_lag1,float32,0.0,1002702
bb200_mid_ov_value_lag3,float32,0.0,1002702
bb200_mid_ov_value_lag5,float32,0.0,1002702
bb200_mid_ov_value_lag8,float32,0.0,1002702
bb200_mid_ov_value_lag13,float32,0.0,1002702
bb200_mid_ov_distance,float32,0.0,1002702
bb200_mid_ov_distance_lag1,float32,0.0,1002702
bb200_mid_ov_distance_lag3,float32,0.0,1002702
bb200_mid_ov_distance_lag5,float32,0.0,1002702
bb200_mid_ov_distance_lag8,float32,0.0,1002702
bb200_mid_ov_distance_lag13,float32,0.0,1002702
bb200_mid_gap_atr_rollmean_100,float32,0.0,1002709
bb100_mid_ov_velocity5,float32,0.0,1002750
bb100_mid_ov_velocity5_lag1,float32,0.0,1002750
bb100_mid_ov_velocity5_lag3,float32,0.0,1002750
bb20_mid_ov_acceleration5,float32,0.0,1002751
bb100_mid_ov_velocity1,float32,0.0,1002753
bb100_mid_ov_velocity1_lag1,float32,0.0,1002753
bb100_mid_ov_velocity1_lag3,float32,0.0,1002753
bb20_mid_ov_velocity8,float32,0.0,1002768
